,file,force_file,family,code,video_frame_count,framerate,foot,footfall_begin,footfall_end,open_frame,CoP,footfall_point,conversion_factor,x_calib_mm,y_calib_mm,notes,mean_body_deflection
43,skrys1_up_01.avi,skrys1_up_01.txt,Gecko,skrys1,356,100,,,,,"(nan, nan)","(nan, nan)",,,,,
44,skrys1_up_02.avi,skrys1_up_02.txt,Gecko,skrys1,648,100,,,,,"(nan, nan)","(nan, nan)",,,,,
45,skrys1_up_05.avi,skrys1_up_05.txt,Gecko,skrys1,415,100,,,,,"(nan, nan)","(nan, nan)",,,,"very sticky gecko, feet on forceplate but stop-and-go",
46,skrys2_down_02.avi,skrys2_down_02.txt,Gecko,skrys2,91,100,,,,,"(nan, nan)","(nan, nan)",,,,,
47,skrys2_down_03.avi,skrys2_down_03.txt,Gecko,skrys2,131,100,HL,11,34,22,"(533, 200)","(543, 212)",1.41,-7.092,-8.511,very sticky gecko,4.4
48,skrys2_down_06.avi,skrys2_down_06.txt,Gecko,skrys2,220,100,,,,,"(nan, nan)","(nan, nan)",,,,"very sticky gecko, feet on forceplate but stop-and-go",
49,skrys2_up_01.avi,skrys2_up_01.txt,Gecko,skrys2,257,100,FL,64,107,86,"(532, 202)","(550, 183)",1.36,-13.235,13.971,"very sticky gecko, also has HL footfall on forceplate after",5.31
50,skrys2_up_04.avi,skrys2_up_04.txt,Gecko,skrys2,216,100,HL,97,129,113,"(532, 202)","(554, 182)",1.39,-15.827,14.388,very sticky gecko,8.24
51,skrys2_up_05.avi,skrys2_up_05.txt,Gecko,skrys2,211,100,FL,73,118,96,"(534, 201)","(559, 177)",1.37,-18.248,17.518,"very sticky gecko, also has HL footfall on forceplate after",5.67
52,skrys2_up_07.avi,skrys2_up_07.txt,Gecko,skrys2,160,100,HL,75,104,90,"(534, 200)","(542, 195)",1.32,-6.061,3.788,"very sticky gecko, also has FL footfall on forceplate before",10.48
53,skrys3_down_04.avi,skrys3_down_04.txt,Gecko,skrys3,288,100,HL,104,221,162,"(536, 184)","(555, 191)",1.36,-13.971,-5.147,"very sticky gecko, paused step on forceplate",12.61
54,skrys3_down_05.avi,skrys3_down_05.txt,Gecko,skrys3,269,100,HR,43,182,112,"(538, 186)","(523, 170)",1.39,10.791,11.511,"very sticky gecko, paused step on forceplate",20.21
55,skrys3_down_06.avi,skrys3_down_06.txt,Gecko,skrys3,275,100,,,,,"(nan, nan)","(nan, nan)",,,,"very sticky gecko, feet on forceplate but stop-and-go",
56,skrys3_up_01.avi,skrys3_up_01.txt,Gecko,skrys3,288,250,HL,24,103,64,"(535, 186)","(543, 180)",1.39,-5.755,4.317,very sticky gecko,3.34
57,skrys3_up_02.avi,skrys3_up_02.txt,Gecko,skrys3,508,250,HR,299,401,350,"(537, 186)","(548, 187)",1.41,-7.801,-0.709,climbs backwards!,13.09
58,skrys3_up_03.avi,skrys3_up_03.txt,Gecko,skrys3,293,250,,,,,"(nan, nan)","(nan, nan)",,,,"very sticky gecko, foot on forceplate but stop-and-go",
59,skrys4_down_01.avi,skrys4_down_01.txt,Gecko,skrys4,239,100,,,,,"(nan, nan)","(nan, nan)",,,,"very sticky gecko, foot on forceplate but stop-and-go",
60,skrys4_down_05.avi,skrys4_down_05.txt,Gecko,skrys4,367,100,,,,,"(nan, nan)","(nan, nan)",,,,,
61,skrys4_down_07.avi,skrys4_down_07.txt,Gecko,skrys4,508,100,FL,283,336,310,"(528, 201)","(507, 224)",1.41,14.894,-16.312,"very sticky gecko, paused step on forceplate",3.63
62,skrys4_down_10.avi,skrys4_down_10.txt,Gecko,skrys4,614,100,,,,,"(nan, nan)","(nan, nan)",,,,"very sticky gecko, foot on forceplate but stop-and-go",
63,skrys4_up_02.avi,skrys4_up_02.txt,Gecko,skrys4,225,100,,,,,"(nan, nan)","(nan, nan)",,,,,
64,skrys4_up_04.avi,skrys4_up_04.txt,Gecko,skrys4,234,100,FL,35,159,97,"(528, 204)","(515, 210)",1.34,9.701,-4.478,"very sticky gecko, paused step on forceplate",2.58
65,skrys4_up_06.avi,skrys4_up_06.txt,Gecko,skrys4,188,100,FL,47,88,68,"(526, 204)","(505, 203)",1.4,15,0.714,"very sticky gecko, paused step on forceplate",2.68
66,skrys4_up_08.avi,skrys4_up_08.txt,Gecko,skrys4,224,100,HR,47,123,85,"(526, 203)","(546, 216)",1.36,-14.706,-9.559,"very sticky gecko, paused step on forceplate",6.25
67,skrys4_up_09.avi,skrys4_up_09.txt,Gecko,skrys4,230,100,HR,133,156,144,"(528, 200)","(539, 207)",1.47,-7.483,-4.762,,5.75
68,skrys9_down_03.avi,skrys9_down_03.txt,Gecko,skrys9,240,100,FR,50,86,68,"(526, 206)","(514, 205)",1.45,8.276,0.69,also has HR footfall on forceplate after,2.56
69,skrys9_down_06.avi,skrys9_down_06.txt,Gecko,skrys9,207,100,HR,117,142,130,"(527, 204)","(508, 227)",1.39,13.669,-16.547,,10.32
70,skrys9_down_08.avi,skrys9_down_08.txt,Gecko,skrys9,237,100,FR,33,114,74,"(528, 204)","(521, 229)",1.39,5.036,-17.986,paused step on forceplate,15.55
71,skrys9_down_12.avi,skrys9_down_12.txt,Gecko,skrys9,329,100,FR,59,121,90,"(528, 200)","(507, 194)",1.42,14.789,4.225,very slow,20.38
72,skrys9_down_14.avi,skrys9_down_14.txt,Gecko,skrys9,256,100,FR,53,94,74,"(530, 199)","(538, 199)",1.36,-5.882,0,,11.23
73,skrys9_down_16.avi,skrys9_down_16.txt,Gecko,skrys9,393,100,HR,137,172,154,"(528, 200)","(540, 175)",1.39,-8.633,17.986,,7
74,skrys9_down_18.avi,skrys9_down_18.txt,Gecko,skrys9,236,100,FR,51,85,68,"(529, 198)","(521, 181)",1.41,5.674,12.057,also has HR footfall on forceplate after,11.73
75,skrys9_down_19.avi,skrys9_down_19.txt,Gecko,skrys9,436,100,HR,209,279,244,"(529, 198)","(506, 181)",1.37,16.788,12.409,paused step on forceplate,6.96
76,skrys9_up_01.avi,skrys9_up_01.avi,Gecko,skrys9,253,100,FR,63,141,102,"(526, 204)","(541, 207)",1.41,-10.638,-2.128,also has HR footfall on forceplate after,5.76
77,skrys9_up_02.avi,skrys9_up_02.avi,Gecko,skrys9,234,100,FR,65,98,82,"(528, 204)","(531, 218)",1.37,-2.19,-10.219,also has HR footfall on forceplate after,6.69
78,skrys9_up_04.avi,skrys9_up_04.avi,Gecko,skrys9,316,100,HR,120,176,148,"(528, 202)","(518, 221)",1.39,7.194,-13.669,FR still slightly on forceplate when HR touches,12.06
79,skrys9_up_05.avi,skrys9_up_05.avi,Gecko,skrys9,601,100,FL,216,258,237,"(526, 204)","(497, 181)",1.39,20.863,16.547,very slow,4.09
80,skrys9_up_07.avi,skrys9_up_07.avi,Gecko,skrys9,402,100,FL,120,196,158,"(526, 204)","(532, 229)",1.43,-4.196,-17.483,"also has HR footfall on forceplate after, paused step on forceplate",12.65
81,skrys9_up_10.avi,,Gecko,skrys9,470,100,HL,296,343,320,"(526, 206)","(537, 220)",1.42,-7.746,-9.859,,10.84
82,skrys9_up_11.avi,skrys9_up_11.avi,Gecko,skrys9,288,100,FR,54,115,84,"(528, 199)","(507, 206)",1.35,15.556,-5.185,,2.64
