,file,force_file,family,code,video_frame_count,framerate,foot,footfall_begin,footfall_end,open_frame,CoP,footfall_point,conversion_factor,x_calib_mm,y_calib_mm,notes
59,lstein7_up_01.avi,lstein7_up_01.txt,Gecko,lstein7,442,100,,,,,"(nan, nan)","(nan, nan)",,,,
60,lstein8_up_01.avi,lstein8_up_01.txt,Gecko,lstein8,260,100,FR,62,106,84,"(534, 183)","(528, 207)",1.42,4.225,-16.901,
61,lstein8_up_02.avi,lstein8_up_02.txt,Gecko,lstein8,194,100,,,,,"(nan, nan)","(nan, nan)",,,,
62,lstein8_up_03.avi,lstein8_up_03.txt,Gecko,lstein8,277,100,FL,20,103,62,"(534, 190)","(535, 162)",1.42,-0.704,19.718,paused on forceplate
63,lstein8_up_04.avi,lstein8_up_04.txt,Gecko,lstein8,251,100,FR,72,140,106,"(534, 188)","(513, 216)",1.44,14.583,-19.444,paused on forceplate
64,lstein8_up_05.avi,lstein8_up_05.txt,Gecko,lstein8,308,100,HL,171,218,194,"(535, 188)","(523, 162)",1.42,8.451,18.31,also got FL footfall on forceplate but paused on forceplate for FL and HL
65,scil1_down_03.avi,scil1_down_03.txt,Gecko,scil1,323,100,FR,93,138,116,"(625, 188)","(616, 230)",2.81,3.203,-14.947,
66,scil1_down_05.avi,scil1_down_05.txt,Gecko,scil1,364,100,FL,91,129,110,"(624, 187)","(648, 236)",2.81,-8.541,-17.438,got all feet on forceplate - good!
67,scil1_down_05.avi,scil1_down_05.txt,Gecko,scil1,364,100,HR,152,214,183,"(624, 187)","(641, 144)",2.77,-6.137,15.523,got all feet on forceplate - good!
68,scil1_down_07.avi,scil1_down_07.txt,Gecko,scil1,377,100,FL,116,154,135,"(624, 188)","(572, 181)",2.77,18.773,2.527,
69,scil1_down_07.avi,scil1_down_07.txt,Gecko,scil2,377,100,HL,154,203,178,"(624, 188)","(609, 174)",2.8,5.357,5,
70,scil1_down_09.avi,scil1_down_09.txt,Gecko,scil1,335,100,FL,50,77,64,"(624, 188)","(624, 208)",2.79,0,-7.168,"footfalls overlap, but good"
71,scil1_down_09.avi,scil1_down_09.txt,Gecko,scil1,335,100,FR,67,93,80,"(622, 188)","(576, 142)",2.83,16.254,16.254,"footfalls overlap, but good"
72,scil1_down_09.avi,scil1_down_09.txt,Gecko,scil1,335,100,HL,73,95,84,"(625, 187)","(670, 222)",2.8,-16.071,-12.5,"footfalls overlap, but good"
73,scil1_down_10.avi,scil1_down_10.txt,Gecko,scil1,415,100,FL,141,186,164,"(624, 188)","(589, 234)",2.79,12.545,-16.487,got all feet on forceplate - good!
74,scil1_down_10.avi,scil1_down_10.txt,Gecko,scil1,415,100,FR,116,153,134,"(624, 187)","(651, 153)",2.77,-9.747,12.274,got all feet on forceplate - good!
75,scil1_down_10.avi,scil1_down_10.txt,Gecko,scil1,415,100,HL,174,228,201,"(624, 186)","(664, 237)",2.78,-14.388,-18.345,got all feet on forceplate - good!
76,scil1_down_10.avi,scil1_down_10.txt,Gecko,scil1,415,100,HR,214,257,236,"(624, 188)","(606, 157)",2.77,6.498,11.191,got all feet on forceplate - good!
77,scil1_down_15.avi,scil1_down_15.txt,Gecko,scil1,299,100,HL,146,188,167,"(626, 184)","(637, 141)",2.67,-4.12,16.105,also got FL footfall on forceplate 
78,scil1_down_16.avi,scil1_down_16.txt,Gecko,scil1,547,100,FL,104,153,128,"(624, 187)","(603, 181)",2.64,7.955,2.273,also got other feet on forceplate but more towards the edge
79,scil1_up_01.avi,scil1_up_01.txt,Gecko,scil1,703,200,HL,456,562,509,"(626, 186)","(638, 202)",2.85,-4.211,-5.614,slow
80,scil1_up_02.avi,scil1_up_02.txt,Gecko,scil1,553,200,FR,143,248,196,"(624, 187)","(655, 180)",2.77,-11.191,2.527,
81,scil1_up_02.avi,scil1_up_02.txt,Gecko,scil1,553,200,HR,238,315,276,"(624, 188)","(628, 182)",2.78,-1.439,2.158,
82,scil1_up_04.avi,scil1_up_04.txt,Gecko,scil1,577,100,HR,196,236,216,"(624, 188)","(647, 198)",2.8,-8.214,-3.571,also got other feet on forceplate
83,scil1_up_06.avi,scil1_up_06.txt,Gecko,scil1,452,100,HL,158,198,178,"(626, 188)","(641, 230)",2.77,-5.415,-15.162,also got FL footfall on forceplate 
84,scil1_up_08.avi,scil1_up_08.txt,Gecko,scil1,404,100,FL,126,157,142,"(625, 188)","(636, 236)",2.79,-3.943,-17.204,
85,scil1_up_08.avi,scil1_up_08.txt,Gecko,scil2,404,100,HL,157,193,175,"(626, 186)","(605, 216)",2.79,7.527,-10.753,
86,scil1_up_11.avi,scil1_up_11.txt,Gecko,scil1,256,100,FR,38,84,61,"(623, 184)","(640, 132)",2.88,-5.903,18.056,
87,scil1_up_11.avi,scil1_up_11.txt,Gecko,scil1,256,100,HR,85,125,105,"(624, 187)","(623, 133)",2.78,0.36,19.424,
88,scil1_up_12.avi,scil1_up_12.txt,Gecko,scil1,641,100,,,,,"(nan, nan)","(nan, nan)",,,,
89,scil1_up_13.avi,scil1_up_13.txt,Gecko,scil1,498,100,,,,,"(nan, nan)","(nan, nan)",,,,
90,scil1_up_14.avi,scil1_up_14.txt,Gecko,scil1,349,100,,,,,"(nan, nan)","(nan, nan)",,,,
91,scil1_up_17.avi,scil1_up_17.txt,Gecko,scil1,413,100,,,,,"(nan, nan)","(nan, nan)",,,,
92,scil1_up_18.avi,scil1_up_18.txt,Gecko,scil1,784,100,,,,,"(nan, nan)","(nan, nan)",,,,
93,scil2_down_02.avi,scil2_down_02.txt,Gecko,scil2,217,100,,,,,"(nan, nan)","(nan, nan)",,,,
94,scil2_down_04.avi,scil2_down_04.txt,Gecko,scil2,195,100,,,,,"(nan, nan)","(nan, nan)",,,,
95,scil2_down_05.avi,scil2_down_05.txt,Gecko,scil2,111,100,,,,,"(nan, nan)","(nan, nan)",,,,
96,scil2_up_01.avi,scil2_up_01.txt,Gecko,scil2,655,100,,,,,"(nan, nan)","(nan, nan)",,,,
97,scil2_up_03.avi,scil2_up_03.txt,Gecko,scil2,878,100,,,,,"(nan, nan)","(nan, nan)",,,,
98,scil3_down_03.avi,scil3_down_03.txt,Gecko,scil3,256,100,,,,,"(nan, nan)","(nan, nan)",,,,
99,scil3_down_04.avi,scil3_down_04.txt,Gecko,scil3,347,100,,,,,"(nan, nan)","(nan, nan)",,,,
100,scil3_down_06.avi,scil3_down_06.txt,Gecko,scil3,488,100,,,,,"(nan, nan)","(nan, nan)",,,,
101,scil3_down_08.avi,scil3_down_08.txt,Gecko,scil3,473,100,,,,,"(nan, nan)","(nan, nan)",,,,
102,scil3_down_12.avi,scil3_down_12.txt,Gecko,scil3,186,100,,,,,"(nan, nan)","(nan, nan)",,,,
103,scil3_down_15.avi,scil3_down_15.txt,Gecko,scil3,426,100,,,,,"(nan, nan)","(nan, nan)",,,,
104,scil3_up_01.avi,scil3_up_01.txt,Gecko,scil3,1027,200,,,,,"(nan, nan)","(nan, nan)",,,,
105,scil3_up_02.avi,scil3_up_02.txt,Gecko,scil3,426,100,,,,,"(nan, nan)","(nan, nan)",,,,
106,scil3_up_05.avi,scil3_up_05.txt,Gecko,scil3,517,100,,,,,"(nan, nan)","(nan, nan)",,,,
107,scil3_up_07.avi,scil3_up_07.txt,Gecko,scil3,333,100,,,,,"(nan, nan)","(nan, nan)",,,,
108,scil3_up_09.avi,scil3_up_09.txt,Gecko,scil3,548,100,,,,,"(nan, nan)","(nan, nan)",,,,
109,scil3_up_10.avi,scil3_up_10.txt,Gecko,scil3,370,100,,,,,"(nan, nan)","(nan, nan)",,,,
110,scil3_up_11.avi,scil3_up_11.txt,Gecko,scil3,285,100,,,,,"(nan, nan)","(nan, nan)",,,,
111,scil3_up_13.avi,scil3_up_13.txt,Gecko,scil3,385,100,,,,,"(nan, nan)","(nan, nan)",,,,
112,scil3_up_14.avi,scil3_up_14.txt,Gecko,scil3,548,100,,,,,"(nan, nan)","(nan, nan)",,,,
113,seld1_down_03.avi,seld1_down_03.txt,Gecko,seld1,1730,200,,,,,"(nan, nan)","(nan, nan)",,,,
114,seld1_up_01.avi,seld1_up_01.txt,Gecko,seld1,962,200,,,,,"(nan, nan)","(nan, nan)",,,,
115,seld1_up_02.avi,seld1_up_02.txt,Gecko,seld1,2154,200,,,,,"(nan, nan)","(nan, nan)",,,,
116,seld1_up_04.avi,seld1_up_04.txt,Gecko,seld1,1231,200,,,,,"(nan, nan)","(nan, nan)",,,,
117,umill1_down_03.avi,umill1_down_03.txt,Gecko,umill1,505,100,,,,,"(nan, nan)","(nan, nan)",,,,
118,umill1_down_05.avi,umill1_down_05.txt,Gecko,umill1,380,100,,,,,"(nan, nan)","(nan, nan)",,,,
119,umill1_down_06.avi,umill1_down_06.txt,Gecko,umill1,622,100,,,,,"(nan, nan)","(nan, nan)",,,,
120,umill1_down_11.avi,umill1_down_11.txt,Gecko,umill1,865,100,,,,,"(nan, nan)","(nan, nan)",,,,
121,umill1_up_01.avi,umill1_up_01.txt,Gecko,umill1,730,100,,,,,"(nan, nan)","(nan, nan)",,,,
122,umill1_up_02.avi,umill1_up_02.txt,Gecko,umill1,658,100,,,,,"(nan, nan)","(nan, nan)",,,,
123,umill1_up_04.avi,umill1_up_04.txt,Gecko,umill1,306,100,,,,,"(nan, nan)","(nan, nan)",,,,
124,umill1_up_07.avi,umill1_up_07.txt,Gecko,umill1,469,100,,,,,"(nan, nan)","(nan, nan)",,,,
125,umill1_up_08.avi,umill1_up_08.txt,Gecko,umill1,365,100,,,,,"(nan, nan)","(nan, nan)",,,,
126,umill1_up_09.avi,umill1_up_09.txt,Gecko,umill1,456,100,,,,,"(nan, nan)","(nan, nan)",,,,
127,umill1_up_10.avi,umill1_up_10.txt,Gecko,umill1,937,100,,,,,"(nan, nan)","(nan, nan)",,,,
128,umill1_up_12.avi,umill1_up_12.txt,Gecko,umill1,437,100,,,,,"(nan, nan)","(nan, nan)",,,,
129,umill1_up_13.avi,umill1_up_13.txt,Gecko,umill1,748,100,,,,,"(nan, nan)","(nan, nan)",,,,
130,umill2_down_01.avi,umill2_down_01.txt,Gecko,umill2,788,100,,,,,"(nan, nan)","(nan, nan)",,,,
