filename	 foot	 direction	 MeanX	 MeanY	 MeanZ	 IntergralX	 IntergralY	 IntergralZ	 MinX	 MinY	 MinZ	 MaxX	 MaxY	 MaxZ
Gecko_16_ run8_18-09-17_000000.avi	 fore	 down	 0.000820	 0.001333	 -0.001298	 0.000027	 0.000044	 -0.000042	 -0.004411	 -0.001540	 -0.008791	 0.004154	 0.010725	 0.001078
Gecko_16_ run9_18-09-17_000000.avi	 fore	 down	 0.005601	 0.008841	 -0.002149	 0.000145	 0.000228	 -0.000056	 -0.002146	 0.001304	 -0.007800	 0.021807	 0.041454	 0.003805
Gecko_16_ run9_18-09-17_000000.avi	 hind	 down	 0.028090	 0.044191	 0.000411	 0.000798	 0.001255	 0.000012	 -0.000464	 -0.006159	 -0.003641	 0.064218	 0.076201	 0.005825
Gecko_16_ run10_18-09-17_000000.avi	 fore	 up	 -0.006485	 0.010761	 0.000891	 -0.000367	 0.000609	 0.000051	 -0.013556	 -0.013975	 -0.011925	 0.000228	 0.023792	 0.005855
Gecko_16_ run10_18-09-17_000000.avi	 hind	 up	 0.013240	 0.025052	 -0.000521	 0.000748	 0.001416	 -0.000029	 -0.002933	 -0.001864	 -0.003145	 0.029556	 0.053834	 0.003530
Gecko_16_ run11_18-09-17_000000.avi	 hind	 up	 0.014186	 0.029019	 -0.001849	 0.000823	 0.001683	 -0.000107	 -0.004655	 -0.002544	 -0.005230	 0.026631	 0.052342	 0.000924
Gecko_16_ run12_18-09-17_000000.avi	 hind	 up	 0.007407	 0.028717	 -0.001735	 0.000340	 0.001316	 -0.000079	 -0.009042	 -0.005302	 -0.006951	 0.026597	 0.056792	 0.003448
Gecko_16_ run13_18-09-17_000000.avi	 fore	 up	 -0.003500	 0.017385	 0.002540	 -0.000229	 0.001137	 0.000166	 -0.014258	 -0.002554	 -0.005664	 0.004676	 0.029086	 0.005894
Gecko_16_run14_2018-09-18_000000.avi	 hind	 down	 0.052883	 0.055976	 0.003800	 0.001306	 0.001383	 0.000094	 0.000601	 0.001180	 -0.002371	 0.127680	 0.123010	 0.013616
Gecko_16_run15_2018-09-18_000000.avi	 fore	 up	 -0.012119	 0.011850	 0.002362	 -0.000505	 0.000494	 0.000098	 -0.021856	 -0.017223	 -0.009273	 0.000425	 0.023194	 0.006989
Gecko_16_run15_2018-09-18_000000.avi	 hind	 up	 0.010062	 0.021377	 -0.001107	 0.000545	 0.001159	 -0.000060	 -0.009193	 -0.008950	 -0.007394	 0.031529	 0.048657	 0.003077
Gecko_16_run16_2018-09-18_000000.avi	 fore	 up	 -0.008350	 0.008922	 0.002769	 -0.000389	 0.000416	 0.000129	 -0.013971	 -0.013537	 -0.012171	 0.001970	 0.019006	 0.006841
Gecko_16_run16_2018-09-18_000000.avi	 hind	 up	 0.005967	 0.028951	 -0.001180	 0.000285	 0.001381	 -0.000056	 -0.008883	 -0.003819	 -0.009232	 0.026422	 0.054394	 0.004612
Gecko_16_run17_2018-09-18_000000.avi	 fore	 up	 -0.008294	 0.013695	 0.002890	 -0.000392	 0.000648	 0.000137	 -0.013937	 -0.011971	 -0.008447	 0.000295	 0.024026	 0.006249
Gecko_16_run17_2018-09-18_000000.avi	 hind	 up	 0.010015	 0.032785	 -0.001731	 0.000519	 0.001699	 -0.000089	 -0.005994	 -0.005898	 -0.008186	 0.030862	 0.067344	 0.004636
Gecko_16_run18_2018-09-18_000000.avi	 fore	 down	 0.013953	 0.009281	 0.000860	 0.000398	 0.000265	 0.000025	 -0.000716	 -0.001223	 -0.012330	 0.031465	 0.018546	 0.006442
