,filename,MeanX,MeanY,MeanZ,IntergralX,IntergralY,IntergralZ,MinX,MinY,MinZ,MaxX,MaxY,MaxZ,foot,foot2,direction,footfall_begin,footfall_end,individual,bodymass,SVL,TL,MeanX_rel,MeanY_rel,MeanZ_rel,MeanXY,MeanXY_rel,dirMeanXY_rel
68,hfren14_run_05.avi,0.035994,0.016468,0.004617,0.001198,0.000548,0.000154,-0.002421,-0.006298,-0.014789,0.080265,0.041542,0.014168, FR,fore,up,35,43,hfren14,3.87,463,319.5,0.009300775,0.004255297,0.001193023,0.052462,0.013556072,65.41492467
76,hfren14_run_11.avi,0.003332,0.009857,-0.007093,9.90E-05,0.000292,-0.00021,-0.004958,-0.000122,-0.030007,0.021788,0.040513,0.000332, FR,fore,down,35,42,hfren14,3.87,463,319.5,0.000860982,0.002547028,-0.001832817,0.013189,0.00340801,18.67699563
78,hfren14_run_12.avi,0.023996,0.023397,0.006107,0.001332,0.001298,0.000339,-0.001358,-0.002169,-0.012967,0.044485,0.051814,0.010904, FR,fore,up,62,76,hfren14,3.87,463,319.5,0.006200517,0.006045736,0.001578036,0.047393,0.012246253,45.72412265
83,hfren14_run_16.avi,0.001903,0.009442,-0.006442,7.10E-05,0.000354,-0.000241,-0.004447,-0.000152,-0.023117,0.013815,0.02139,0.000667, FR,fore,down,36,46,hfren14,3.87,463,319.5,0.000491731,0.002439793,-0.001664599,0.011345,0.002931525,11.39509503
92,hfren14_run_21.avi,-0.001095,0.007684,-0.003449,-3.90E-05,0.000271,-0.000122,-0.010091,-0.001356,-0.022712,0.015628,0.02273,0.004149, FR,fore,down,28,37,hfren14,3.87,463,319.5,-0.000282946,0.00198553,-0.000891214,0.006589,0.001702584,-8.110267072
94,hfren14_run_22.avi,0.021563,0.018357,0.006023,0.001147,0.000976,0.00032,-0.000776,-0.000462,-0.009404,0.047224,0.050954,0.013919, FR,fore,up,49,63,hfren14,3.87,463,319.5,0.005571835,0.004743411,0.001556331,0.03992,0.010315245,49.59160493
100,hfren16_run_02.avi,-0.029126,0.009498,0.004307,-0.000892,0.000289,0.000132,-0.071649,-0.010108,-0.017412,0.026889,0.040217,0.017589, FR,fore,down,20,28,hfren16,3.465,463,516.12,-0.008405772,0.002741126,0.001243001,-0.019628,-0.005664646,-71.93883229
104,hfren16_run_04.avi,0.000855,0.002776,-0.003382,4.10E-05,0.000132,-0.000161,-0.004378,-0.001024,-0.016107,0.008206,0.011361,0.000837, FR,fore,down,50,62,hfren16,3.465,463,516.12,0.000246753,0.000801154,-0.000976046,0.003631,0.001047908,17.11868152
106,hfren16_run_08.avi,0.00076,0.001284,-0.001269,2.60E-05,4.40E-05,-4.40E-05,-0.00442,-0.001128,-0.006765,0.00415,0.006681,0.00058, FR,fore,down,24,33,hfren16,3.465,463,516.12,0.000219336,0.000370563,-0.000366234,0.002044,0.000589899,30.62130308
128,hfren17_run_06.avi,-0.002794,0.003496,-0.001977,-0.000139,0.000174,-9.80E-05,-0.008175,-0.00107,-0.006853,0.001056,0.006793,0.000605, FR,fore,down,60,72,hfren17,2.3,364,382.37,-0.001214783,0.00152,-0.000859565,0.000702,0.000305217,-38.63181618
