filename	 MeanX	 MeanY	 MeanZ	 IntergralX	 IntergralY	 IntergralZ	 MinX	 MinY	 MinZ	 MaxX	 MaxY	 MaxZ	 foot	 direction	 footfall_begin	 footfall_end
hfren14_run_18.avi	 -0.024912	 -0.004128	 0.004156	 -0.001283	 -0.000213	 0.000214	 -0.037326	 -0.006725	 -0.003691	 0.000293	 -0.000821	 0.007389	 FL	 up	 60	 73
hfren14_run_18.avi	 0.012743	 0.019474	 -0.003949	 0.000793	 0.001211	 -0.000245	 -0.012562	 -0.002154	 -0.007506	 0.029937	 0.043466	 0.000182	 HL	 up	 72	 88
hfren14_run_19.avi	 -0.013118	 0.017290	 0.008318	 -0.000606	 0.000799	 0.000384	 -0.026762	 -0.001987	 -0.009902	 0.002651	 0.043688	 0.017119	 FL	 up	 41	 53
hfren14_run_19.avi	 0.013341	 0.022214	 0.002385	 0.000740	 0.001233	 0.000132	 -0.001207	 -0.001706	 -0.003308	 0.025806	 0.049443	 0.008445	 HL	 up	 52	 66
hfren14_run_20.avi	 0.000281	 0.011047	 -0.004793	 0.000010	 0.000388	 -0.000168	 -0.018294	 0.000013	 -0.016930	 0.023398	 0.026257	 0.004972	 FL	 down	 39	 48
hfren14_run_20.avi	 0.031196	 0.039102	 0.004594	 0.001170	 0.001466	 0.000172	 0.000598	 -0.000588	 -0.001004	 0.065530	 0.076309	 0.013900	 HL	 down	 48	 57
hfren14_run_21.avi	 -0.001095	 0.007684	 -0.003449	 -0.000039	 0.000271	 -0.000122	 -0.010091	 -0.001356	 -0.022712	 0.015628	 0.022730	 0.004149	 FR	 down	 28	 37
hfren14_run_21.avi	 -0.004771	 0.029011	 0.003867	 -0.000195	 0.001184	 0.000158	 -0.018273	 -0.004541	 -0.002851	 0.003051	 0.081370	 0.014514	 HR	 down	 36	 46
hfren14_run_22.avi	 0.021563	 0.018357	 0.006023	 0.001147	 0.000976	 0.000320	 -0.000776	 -0.000462	 -0.009404	 0.047224	 0.050954	 0.013919	 FR	 up	 49	 63
hfren14_run_22.avi	 0.000348	 0.014172	 0.004760	 0.000020	 0.000809	 0.000272	 -0.002347	 0.000179	 -0.002374	 0.004613	 0.033777	 0.012162	 HR	 up	 62	 76
hfren14_run_23.avi	 -0.005337	 0.022767	 -0.004906	 -0.000348	 0.001484	 -0.000320	 -0.014852	 -0.001893	 -0.007965	 0.002674	 0.052658	 -0.000419	 HR	 up	 71	 88
hfren14_run_24.avi	 0.003526	 0.017770	 -0.000723	 0.000228	 0.001151	 -0.000047	 -0.005739	 -0.004476	 -0.002864	 0.010490	 0.038815	 0.002884	 HR	 up	 69	 85
hfren16_run_01.avi	 0.000754	 0.006436	 -0.003092	 0.000029	 0.000246	 -0.000118	 -0.003710	 -0.000428	 -0.006735	 0.004105	 0.011928	 0.000166	 FL	 down	 36	 45
hfren16_run_01.avi	 0.016455	 0.021060	 0.001995	 0.000665	 0.000851	 0.000081	 -0.000621	 -0.002354	 -0.003003	 0.034197	 0.046363	 0.006495	 HL	 down	 45	 55
hfren16_run_02.avi	 -0.029126	 0.009498	 0.004307	 -0.000892	 0.000289	 0.000132	 -0.071649	 -0.010108	 -0.017412	 0.026889	 0.040217	 0.017589	 FR	 down	 20	 28
hfren16_run_02.avi	 -0.017001	 0.036685	 0.005433	 -0.000521	 0.001121	 0.000167	 -0.044810	 0.001596	 -0.009501	 0.011349	 0.065537	 0.015169	 HR	 down	 28	 36
hfren16_run_03.avi	 -0.012406	 0.004369	 0.000459	 -0.001374	 0.000484	 0.000051	 -0.024076	 -0.006065	 -0.006094	 0.000174	 0.008138	 0.003707	 FL	 up	 30	 57
hfren16_run_03.avi	 -0.012406	 0.004369	 0.000459	 -0.001374	 0.000484	 0.000051	 -0.024076	 -0.006065	 -0.006094	 0.000174	 0.008138	 0.003707	 HL	 up	 30	 57
hfren16_run_04.avi	 0.000855	 0.002776	 -0.003382	 0.000041	 0.000132	 -0.000161	 -0.004378	 -0.001024	 -0.016107	 0.008206	 0.011361	 0.000837	 FR	 down	 50	 62
hfren16_run_04.avi	 -0.006643	 0.027758	 0.002323	 -0.000528	 0.002207	 0.000185	 -0.018196	 -0.002260	 -0.002396	 0.001137	 0.054722	 0.005727	 HR	 down	 64	 84
hfren16_run_08.avi	 0.000760	 0.001284	 -0.001269	 0.000026	 0.000044	 -0.000044	 -0.004420	 -0.001128	 -0.006765	 0.004150	 0.006681	 0.000580	 FR	 down	 24	 33
hfren16_run_08.avi	 -0.002420	 0.019724	 0.003150	 -0.000092	 0.000752	 0.000120	 -0.006959	 -0.002496	 -0.003848	 0.003338	 0.044154	 0.009126	 HR	 down	 35	 45
hfren16_run_10.avi	 -0.006055	 0.009897	 0.000917	 -0.000366	 0.000599	 0.000056	 -0.009692	 -0.008870	 -0.011612	 0.000611	 0.023267	 0.005943	 FL	 up	 64	 80
hfren16_run_10.avi	 0.013400	 0.025197	 -0.000348	 0.000753	 0.001416	 -0.000019	 -0.002468	 -0.001906	 -0.002722	 0.029456	 0.052992	 0.003428	 HL	 up	 80	 94
hfren16_run_12.avi	 0.006465	 0.026094	 -0.001998	 0.000320	 0.001292	 -0.000099	 -0.008874	 -0.012809	 -0.006993	 0.026443	 0.056947	 0.002603	 HL	 up	 46	 59
hfren16_run_13.avi	 -0.003410	 0.016794	 0.002487	 -0.000232	 0.001142	 0.000169	 -0.013661	 -0.001595	 -0.006021	 0.004469	 0.028986	 0.006064	 FL	 up	 61	 78
hfren16_run_13.avi	 0.004685	 0.015253	 0.000751	 0.000425	 0.001382	 0.000068	 -0.006694	 -0.035385	 -0.015209	 0.015792	 0.034290	 0.009387	 HL	 up	 78	 101
hfren16_run_14.avi	 0.000736	 0.007586	 -0.004671	 0.000019	 0.000200	 -0.000123	 -0.012400	 -0.001316	 -0.022354	 0.018010	 0.048139	 0.001868	 FL	 down	 36	 42
hfren16_run_14.avi	 0.032464	 0.034072	 0.001782	 0.001321	 0.001387	 0.000072	 -0.002823	 -0.007719	 -0.010694	 0.129970	 0.123000	 0.015689	 HL	 down	 43	 53
hfren16_run_15.avi	 -0.009794	 0.009032	 0.001661	 -0.000518	 0.000478	 0.000088	 -0.021982	 -0.004085	 -0.012265	 0.000607	 0.022101	 0.007341	 FL	 up	 50	 63
hfren16_run_15.avi	 0.008460	 0.018004	 -0.001081	 0.000538	 0.001145	 -0.000069	 -0.009824	 -0.004085	 -0.008225	 0.031598	 0.047954	 0.003147	 HL	 up	 62	 78
hfren16_run_17.avi	 -0.007083	 0.011411	 0.002332	 -0.000394	 0.000636	 0.000130	 -0.013640	 -0.004804	 -0.008568	 0.000466	 0.023449	 0.006135	 FL	 up	 51	 64
